ENSDART00000166186.2	ENSDARG00000104632
ENSDART00000166174.2	ENSDARG00000100660
ENSDART00000157825.1	ENSDARG00000098417
ENSDART00000172566.1	ENSDARG00000100422
ENSDART00000169187.1	ENSDARG00000100422
ENSDART00000169667.2	ENSDARG00000100422
ENSDART00000167290.2	ENSDARG00000102128
ENSDART00000169805.1	ENSDARG00000102128
ENSDART00000158376.2	ENSDARG00000102128
ENSDART00000179581.1	ENSDARG00000102128
ENSDART00000171333.1	ENSDARG00000102128
ENSDART00000163733.1	ENSDARG00000102128
ENSDART00000174251.1	ENSDARG00000102128
ENSDART00000163280.2	ENSDARG00000103095
ENSDART00000177177.1	ENSDARG00000103095
ENSDART00000159996.1	ENSDARG00000103095
ENSDART00000161102.1	ENSDARG00000103095
ENSDART00000171845.2	ENSDARG00000102226
ENSDART00000164855.1	ENSDARG00000104049
ENSDART00000172255.1	ENSDARG00000104049
ENSDART00000161055.2	ENSDARG00000102474
ENSDART00000176415.1	ENSDARG00000102474
ENSDART00000158823.1	ENSDARG00000102474
ENSDART00000165418.2	ENSDARG00000100143
ENSDART00000166440.1	ENSDARG00000100143
ENSDART00000168093.1	ENSDARG00000100143
ENSDART00000167885.1	ENSDARG00000100143
ENSDART00000163526.2	ENSDARG00000104839
ENSDART00000172197.1	ENSDARG00000104839
ENSDART00000164425.1	ENSDARG00000104839
ENSDART00000160414.1	ENSDARG00000104839
ENSDART00000160771.1	ENSDARG00000104839
ENSDART00000163882.2	ENSDARG00000104373
ENSDART00000158135.2	ENSDARG00000098311
ENSDART00000167851.1	ENSDARG00000098311
ENSDART00000168499.2	ENSDARG00000098311
ENSDART00000172172.2	ENSDARG00000102121
ENSDART00000165996.2	ENSDARG00000102123
ENSDART00000166826.1	ENSDARG00000102123
ENSDART00000159640.1	ENSDARG00000102123
ENSDART00000170197.1	ENSDARG00000102123
ENSDART00000175348.1	ENSDARG00000102123
ENSDART00000170849.1	ENSDARG00000102123
ENSDART00000157457.1	ENSDARG00000102123
ENSDART00000170524.1	ENSDARG00000102123
ENSDART00000174384.1	ENSDARG00000102123
ENSDART00000169457.2	ENSDARG00000102123
ENSDART00000171737.1	ENSDARG00000102141
ENSDART00000174185.1	ENSDARG00000105725
ENSDART00000159128.1	ENSDARG00000099787
ENSDART00000103659.4	ENSDARG00000070546
ENSDART00000145428.1	ENSDARG00000045914
ENSDART00000174021.1	ENSDARG00000045914
ENSDART00000131419.2	ENSDARG00000045914
ENSDART00000067489.6	ENSDARG00000045914
ENSDART00000067488.6	ENSDARG00000045913
ENSDART00000149933.1	ENSDARG00000045913
ENSDART00000132625.3	ENSDARG00000045911
ENSDART00000067486.6	ENSDARG00000045911
ENSDART00000142225.2	ENSDARG00000045910
ENSDART00000163436.1	ENSDARG00000045910
ENSDART00000103645.5	ENSDARG00000045910
ENSDART00000169261.1	ENSDARG00000045910
ENSDART00000139832.2	ENSDARG00000045910
ENSDART00000138500.3	ENSDARG00000045909
ENSDART00000067482.5	ENSDARG00000045909
ENSDART00000160718.1	ENSDARG00000045909
ENSDART00000030215.5	ENSDARG00000025073
ENSDART00000148933.1	ENSDARG00000025073
ENSDART00000120228.1	ENSDARG00000084828
ENSDART00000120184.1	ENSDARG00000084784
ENSDART00000148638.1	ENSDARG00000095951
ENSDART00000145121.2	ENSDARG00000093924
ENSDART00000175446.1	ENSDARG00000108269
ENSDART00000119851.1	ENSDARG00000084451
ENSDART00000178115.1	ENSDARG00000106668
ENSDART00000174919.1	ENSDARG00000031737
ENSDART00000049154.6	ENSDARG00000031737
ENSDART00000171138.1	ENSDARG00000099652
ENSDART00000168167.1	ENSDARG00000101047
ENSDART00000169470.1	ENSDARG00000101047
ENSDART00000164735.1	ENSDARG00000101047
ENSDART00000164689.1	ENSDARG00000102104
ENSDART00000169748.1	ENSDARG00000099833
ENSDART00000165560.1	ENSDARG00000103870
ENSDART00000176948.1	ENSDARG00000107297
ENSDART00000150698.2	ENSDARG00000096118
ENSDART00000103601.3	ENSDARG00000045900
ENSDART00000150276.1	ENSDARG00000045900
ENSDART00000128743.2	ENSDARG00000016968
ENSDART00000150812.1	ENSDARG00000016968
ENSDART00000150594.1	ENSDARG00000016968
ENSDART00000150852.1	ENSDARG00000016968
ENSDART00000170012.1	ENSDARG00000102878
ENSDART00000164441.1	ENSDARG00000102878
ENSDART00000158970.1	ENSDARG00000102878
ENSDART00000067455.7	ENSDARG00000059311
ENSDART00000134323.2	ENSDARG00000059311
ENSDART00000135618.2	ENSDARG00000017386
ENSDART00000006961.7	ENSDARG00000017386
ENSDART00000067461.4	ENSDARG00000045898
ENSDART00000149162.2	ENSDARG00000006060
ENSDART00000022668.10	ENSDARG00000006060
ENSDART00000168266.1	ENSDARG00000103050
ENSDART00000171820.1	ENSDARG00000104018
ENSDART00000172320.1	ENSDARG00000104018
ENSDART00000166090.1	ENSDARG00000104018
ENSDART00000103631.4	ENSDARG00000070535
ENSDART00000171855.1	ENSDARG00000013789
ENSDART00000023483.6	ENSDARG00000013789
ENSDART00000141639.1	ENSDARG00000013789
ENSDART00000093289.6	ENSDARG00000063686
ENSDART00000122535.3	ENSDARG00000087962
ENSDART00000174156.1	ENSDARG00000087962
ENSDART00000174337.1	ENSDARG00000087962
ENSDART00000160902.1	ENSDARG00000099313
ENSDART00000170292.1	ENSDARG00000103102
ENSDART00000175763.1	ENSDARG00000107902
ENSDART00000171561.1	ENSDARG00000102157
ENSDART00000166467.1	ENSDARG00000098612
ENSDART00000167233.1	ENSDARG00000098612
ENSDART00000162672.1	ENSDARG00000100898
ENSDART00000164623.1	ENSDARG00000102340
ENSDART00000166274.1	ENSDARG00000099129
ENSDART00000166360.1	ENSDARG00000101813
ENSDART00000177727.1	ENSDARG00000101813
ENSDART00000179264.1	ENSDARG00000107640
ENSDART00000175566.1	ENSDARG00000106927
ENSDART00000178264.1	ENSDARG00000106927
ENSDART00000175060.1	ENSDARG00000107853
ENSDART00000168633.1	ENSDARG00000098551
